community,number_of_cops_race_coalesced_asian,number_of_cops_race_coalesced_black,number_of_cops_race_coalesced_latino,number_of_cops_race_coalesced_white,number_of_cops_age_coalesced_18-29,number_of_cops_age_coalesced_30-39,number_of_cops_age_coalesced_40-49,number_of_cops_age_coalesced_50-59,number_of_cops_age_coalesced_60+,number_of_cops_total_total,number_of_cops_race_coalesced_other,total_annual_salary_race_coalesced_asian,total_annual_salary_race_coalesced_black,total_annual_salary_race_coalesced_latino,total_annual_salary_race_coalesced_white,total_annual_salary_age_coalesced_18-29,total_annual_salary_age_coalesced_30-39,total_annual_salary_age_coalesced_40-49,total_annual_salary_age_coalesced_50-59,total_annual_salary_age_coalesced_60+,total_annual_salary_total_total,total_annual_salary_race_coalesced_other,community_label,tot_population_acs_14_18,tot_occp_units_acs_14_18,tot_housing_units_acs_14_18,pct_white,pct_black,pct_aian,pct_asian,pct_latino,pct_college,pct_blw_pov,pct_children_blw_pov,pct_female_no_hb,pct_vacant,pct_owner_occ,pct_single_detached,pct_recent_built,avg_hh_inc_acs_14_18,avg_house_value_acs_14_18,med_house_value_acs_14_18,med_hhd_inc_acs_14_18,time_range,variable,value,asian_cop_complaints,black_cop_complaints,latino_cop_complaints,other_cop_complaints,white_cop_complaints,total_cop_complaints,share_white_cop_complaints,lori_lightfoot,jerry_joyce,ballots_cast,lightfoot_share,jerry_joyce_share,crime_count,arrest_count,arrest_rate,kfr_pooled_pooled_p25_weighted,jail_pooled_pooled_p25_weighted,pooled_pooled_count,kfr_pooled_pooled_p25,jail_pooled_pooled_p25,cops_per_household,cops_income_per_household,average_cop_income,share_of_cops,share_of_pop,ratio_cop_share_to_pop_share,pct_white_cops,pct_black_cops,pct_latino_cops,pct_asian_cops,pct_poc_cops,lon,lat,race_label,income_label,race_income_label,cop_neighborhood
JEFFERSON PARK,7,2,39,240,34,76,109,63,6,288,0,548838,201144,3408018,22534326,2548242,6385782,10706550,6494688,557064,26692326,0,Jefferson Park,27989,10515,11281,0.6130622744649684,0.010968594805102004,0.003537103862231591,0.10339776340705277,0.2468827039193969,0.3640701071080818,0.09684361549497848,0.14716569767441862,0.09300998573466476,0.06790178175693644,0.6419400855920114,0.5092633631770234,0.0029252725822178885,89635.27341892534,186669.4087403599,294873.1811697575,76507.87501108058,2008-2018,bigcategory,Complaints,7,7,38,1,165,218,0.7568807339449541,878,1004,6926,0.12676869766098758,0.144961016459717,960,134,0.13958333333333334,796.5816938031162,3.317071903595196,1735.14891,0.45908549359208384,0.0019116929299141225,0.027389443651925822,2538.499857346648,92681.6875,0.02079272254710851,0.010210517829280901,2.03640235439194,0.8333333333333334,0.006944444444444444,0.13541666666666666,0.024305555555555556,0.16666666666666666,-87.77277189298997,41.98255457116025,White,$75-120K,White ($75-120K),Cop neighborhood
FOREST GLEN,16,3,31,239,23,61,133,62,11,290,1,1475484,253872,2996220,23704590,1881606,5473422,13545144,6565254,1062180,28527606,97440,Forest Glen,19092,6982,7239,0.6948983867588518,0.01126126126126126,0,0.12214540121516866,0.15027236538864447,0.5713340197087807,0.04652624960704181,0.03915135608048994,0.08206817530793468,0.035502141179720954,0.8867086794614724,0.8883823732559746,0.0026246719160104987,134196.21884846748,383465.8378229037,437149.1263248353,113295.63254593176,2008-2018,bigcategory,Complaints,2,6,6,0,29,43,0.6744186046511628,927,831,6951,0.13336210617177385,0.119551143720328,439,33,0.07517084282460136,402.03921217849364,10.132662922626029,805.8582200000001,0.49889571415986006,0.012573753882694189,0.04153537668289888,4085.8788312804354,98371.05517241379,0.020937116453685654,0.006964850705513986,3.006111306464904,0.8241379310344827,0.010344827586206896,0.10689655172413794,0.05517241379310345,0.1724137931034483,-87.75166075922614,41.99170083641275,White,$75-120K,White ($75-120K),Cop neighborhood
NORTH PARK,8,1,11,33,14,13,13,9,4,53,0,677550,90024,918246,3051384,1055838,1157748,1170252,971568,381798,4737204,0,North Park,18451,6557,7107,0.5248496016476072,0.030675844127689558,0.003414449081350604,0.2464907051108341,0.16118367568153488,0.4624731951393853,0.15514428756258086,0.21403061224489797,0.1091962787860302,0.07738849022090896,0.501296324538661,0.32263965104826225,0,80312.45996644808,167015.51990994794,315923.0593259112,53994.33572534121,2008-2018,bigcategory,Complaints,6,3,19,0,33,61,0.5409836065573771,682,254,3842,0.17751171264966165,0.06611140031233732,792,62,0.07828282828282829,960.4041557703825,4.616101137323799,1927.12272,0.4983617004787233,0.0023953332548140986,0.008082964770474302,722.4651517462254,89381.2075471698,0.003826438524294275,0.006731010913861228,0.5684790254038152,0.6226415094339622,0.018867924528301886,0.20754716981132076,0.1509433962264151,0.37735849056603776,-87.7228745850224,41.98460103728628,Asian & white,$50-75K,Asian & white ($50-75K),
ALBANY PARK,10,3,49,48,24,26,40,12,8,110,0,893850,249756,4088994,4192164,1880442,2170326,3638496,1061088,674412,9424764,0,Albany Park,50343,16678,18447,0.3203424507875971,0.04969906441809189,2.1850108257354548e-4,0.14307848161611347,0.4565878076395924,0.35192788289896465,0.17713368851953182,0.2758559359715429,0.1277131550545629,0.0958963517103052,0.4117999760163089,0.211362281129723,0.0027646771832818343,79190.62837270656,131881.24898357457,303791.7915817244,59322.582859001464,2008-2018,bigcategory,Complaints,28,7,75,3,179,292,0.613013698630137,1959,385,7771,0.2520911079655128,0.0495431733367649,2177,291,0.13367018833256775,4747.048338942466,167.60173942049977,10785.37481,0.44013754019388285,0.015539723224556141,0.006595515049766159,565.1015709317664,85679.67272727273,0.007941664861742834,0.018365361359087083,0.43242627827812063,0.43636363636363634,0.02727272727272727,0.44545454545454544,0.09090909090909091,0.5636363636363636,-87.72429925736748,41.96852941988719,Latino & white,$50-75K,Latino & white ($50-75K),
PORTAGE PARK,9,7,103,177,52,88,88,57,13,298,2,829746,554964,8940702,15717882,3832062,7380360,8368596,5428002,1190838,26199858,156564,Portage Park,64961,22613,25137,0.49004787487877344,0.014069980449808346,0.0018164745000846662,0.05415557026523606,0.41563399578208465,0.30328950261664983,0.11336026147015293,0.14954889931432697,0.1325343828771061,0.10040975454509289,0.5859903595277053,0.44603572423121296,0.0048931853443131635,82237.66417547429,158524.33464613915,289883.3370185292,66022.55702748935,2008-2018,bigcategory,Complaints,10,18,55,0,195,278,0.7014388489208633,1792,1074,11883,0.15080366910712784,0.09038121686442817,2898,428,0.147688060731539,3259.9813726621874,66.03549219440946,7087.32449,0.45997348890429984,0.009317407759103388,0.013178260292751957,1158.6192897890594,87918.9865771812,0.021514692079994225,0.023698075983704905,0.9078666173063162,0.5939597315436241,0.02348993288590604,0.34563758389261745,0.030201342281879196,0.39932885906040266,-87.7647071836309,41.95365559537075,Latino & white,$50-75K,Latino & white ($50-75K),
IRVING PARK,11,3,93,105,47,57,50,38,20,212,0,890478,234084,7657656,9438954,3538818,4733682,4656372,3469758,1822542,18221172,0,Irving Park,53665,20410,22776,0.42933010341936084,0.03042951644461008,0.0012112177396813566,0.08230690394111619,0.4219323581477686,0.40434681242390486,0.10279514182200447,0.13876589731512012,0.1087702106810387,0.10388127853881278,0.487016168544831,0.301589392342817,0.012293642430628733,88344.85056344929,155554.7110994029,323099.6423321901,67196.05400421497,2008-2018,bigcategory,Complaints,19,9,72,1,121,222,0.545045045045045,2652,635,11554,0.2295308983901679,0.05495932144711788,2521,275,0.10908369694565649,3630.135463653999,93.93113667926445,8461.10334,0.4290380719607189,0.01110152339532405,0.010387065164135227,892.7570798628124,85948.92452830188,0.0153057540971771,0.01957724246340918,0.7818135841032923,0.49528301886792453,0.014150943396226415,0.4386792452830189,0.05188679245283019,0.5047169811320755,-87.7187539866022,41.953578996036384,Latino & white,$50-75K,Latino & white ($50-75K),
DUNNING,12,7,119,350,64,165,155,84,20,488,0,1065390,608112,10376190,31595214,4741896,13736916,14954400,8285418,1926276,43644906,0,Dunning,44035,15683,16710,0.6167593959350517,0.022459407289655956,0,0.05752242534347678,0.2975814692857954,0.26726423431384927,0.08137783053323594,0.10540213444823412,0.11088439711789837,0.061460203470975465,0.7469871835745712,0.6683423099940156,0.0017354877318970677,82470.872919722,172155.75104727707,248805.06918319198,69789.1947336924,2008-2018,bigcategory,Complaints,4,2,28,0,85,119,0.7142857142857143,715,1096,7477,0.09562658820382507,0.1465828540858633,1261,153,0.12133227597145123,1606.5481265807884,19.314482431860576,3346.292612,0.48009792114999544,0.0057719048126866485,0.031116495568449913,2782.9436969967483,89436.28278688525,0.03523211320482276,0.01606417351861033,2.1932104483312753,0.7172131147540983,0.014344262295081968,0.24385245901639344,0.02459016393442623,0.2827868852459016,-87.80653841924294,41.94725726102338,White,$50-75K,White ($50-75K),Cop neighborhood
MONTCLARE,1,10,47,39,16,39,27,14,1,97,0,94524,888906,3990798,3240276,1139064,3178032,2470164,1333890,93354,8214504,0,Montclare,13811,4577,5070,0.299616247918326,0.030048512055607848,0.008254290058648903,0.03287234812830352,0.6129896459344001,0.16375522452041583,0.1320850939822235,0.15433673469387754,0.18374481101157963,0.09723865877712032,0.6401573082805331,0.5775147928994083,0.0021696252465483235,76050.60083023815,133808.02761341224,241381.66921564343,45301.93609467456,2008-2018,bigcategory,Complaints,1,5,12,0,33,51,0.6470588235294118,175,179,2122,0.0824693685202639,0.08435438265786993,560,55,0.09821428571428571,686.0453662711463,7.02357053568088,1584.16211,0.4330651275778502,0.004433618561727171,0.02119292112737601,1794.7354162114923,84685.60824742269,0.007003104468991409,0.005038317258215675,1.3899689340864503,0.4020618556701031,0.10309278350515463,0.4845360824742268,0.010309278350515464,0.5979381443298969,-87.79846544355527,41.927822546486595,Latino,$20-50K,Latino ($20-50K),
BELMONT CRAGIN,3,11,169,39,56,67,51,31,17,222,0,258132,958110,13602120,3339066,4254468,5361570,4431522,2682282,1427586,18157428,0,Belmont Cragin,80701,22495,24686,0.1289946840807425,0.02343217556164112,3.96525445781341e-4,0.01810386488395435,0.8197172277914772,0.1321313027696678,0.17328605496110772,0.2662523020257827,0.19315403422982885,0.08875475978287288,0.5101133585241164,0.41104269626508955,0.002471036214858624,62912.30051122472,125112.41189338086,238413.687486108,50886.64664182127,2008-2018,bigcategory,Complaints,35,39,136,1,519,730,0.7109589041095891,632,472,7507,0.08418809111495937,0.06287465032636207,4439,865,0.19486370804235187,6165.526084632439,190.56667395228305,14759.21694,0.41774073175405463,0.012911706273238304,0.009868859746610358,807.176172482774,81790.21621621621,0.01602772363006281,0.029440101444881846,0.5444180842946527,0.17567567567567569,0.04954954954954955,0.7612612612612613,0.013513513513513514,0.8243243243243243,-87.766105734048665,41.92642139918708,Latino,$50-75K,Latino ($50-75K),
WEST RIDGE,32,25,35,81,30,47,50,32,14,173,0,2418474,2081466,3018180,7109244,2247366,3779268,4518210,2831964,1250556,14627364,0,West Ridge,77212,25602,28272,0.41703362171683156,0.13365798062477335,0.002965860228979951,0.2200046624876962,0.18362430710252292,0.39304395347021626,0.2108422632368816,0.30959704706244234,0.12061557690805406,0.09443972835314092,0.4671900632763065,0.24239530277306168,0.0020514997170345216,72716.10421060855,114961.6298811545,255376.22451370987,52979.88087153367,2008-2018,bigcategory,Complaints,20,24,59,3,244,350,0.6971428571428572,2130,679,11516,0.18496005557485237,0.05896144494616186,3356,392,0.11680572109654351,5046.744365659035,154.45355186657233,10571.05413,0.4774116472771325,0.014610988645705886,0.006757284587141629,571.3367705647996,84551.23699421965,0.012490072918922821,0.028167297961143197,0.44342460310367304,0.4682080924855491,0.14450867052023122,0.2023121387283237,0.18497109826589594,0.5317919075144508,-87.69394611132537,42.001394371799314,Asian & white,$50-75K,Asian & white ($50-75K),
HERMOSA,2,0,64,5,21,16,13,14,7,71,0,204972,0,5152428,441504,1667094,1278294,1023438,1236636,593442,5798904,0,Hermosa,23489,7016,7849,0.10072800034058496,0.03214270509600239,0.0017029247732981395,0.021158840308229385,0.835242028183405,0.16259785060368848,0.19220115064990412,0.2846233946546338,0.1911345496009122,0.10612816919352784,0.47277651083238315,0.30691807873614474,0,60978.3637400228,107407.79717161422,243451.2970353478,42922.89348961651,2008-2018,bigcategory,Complaints,1,1,26,0,49,77,0.6363636363636364,255,98,2443,0.10437986082685223,0.04011461318051576,1142,206,0.18038528896672504,2561.4513488099783,69.07879472728644,6416.62234,0.3991899808162901,0.010765600820335397,0.010119726339794756,826.5256556442417,81674.7042253521,0.005125983683488557,0.008568896827038446,0.5982081225804866,0.07042253521126761,0,0.9014084507042254,0.028169014084507043,0.9295774647887324,-87.73510049643352,41.92602117323938,Latino,$20-50K,Latino ($20-50K),
AVONDALE,4,2,41,37,14,25,19,19,7,84,0,322146,156564,3416322,3212088,1009650,2065266,1648494,1787112,596598,7107120,0,Avondale,37909,13388,15266,0.34754279986282943,0.01959956738505368,3.165475216966947e-4,0.03740536548049276,0.5711836239415442,0.35175100219348004,0.17488551840969851,0.2702252944188428,0.11659695249477144,0.12301847242237653,0.3950552733791455,0.19363290973404954,0.012183938163238569,78421.03376157754,150351.4083584436,322067.7248282044,60722.31658587711,2008-2018,bigcategory,Complaints,1,10,70,0,91,172,0.5290697674418605,1401,250,6726,0.20829616413916147,0.037169194171870354,2075,321,0.15469879518072288,3480.3628193254826,98.30863320962952,8503.14553,0.40930298170793306,0.011561443099237362,0.00627427547057066,530.8574843143114,84608.57142857143,0.006064544076239983,0.0138293801275576,0.4385260959133849,0.44047619047619047,0.023809523809523808,0.4880952380952381,0.047619047619047616,0.5595238095238095,-87.70975897482215,41.93921013197719,Latino & white,$50-75K,Latino & white ($50-75K),
LOGAN SQUARE,2,6,108,65,45,43,54,21,18,181,0,145020,480156,9183216,5835870,3459900,3566916,5016576,2114490,1486380,15644262,0,Logan Square,73689,29818,33080,0.4837221294901546,0.04558346564616157,7.192389637530704e-4,0.033410685448303,0.41158110437107304,0.5523866148900987,0.1288113395451631,0.1929462168158519,0.10258904017707425,0.09860943168077388,0.38369441277080957,0.1723397823458283,0.015205562273276905,106959.1924341002,NA,407316.44308806764,80762.78282950423,2008-2018,bigcategory,Complaints,35,37,239,7,274,592,0.46283783783783783,4494,503,16368,0.27456011730205276,0.03073069403714565,4851,769,0.1585240156668728,6875.997700487902,364.0711410090045,17673.51254,0.3890566566734052,0.02059981795837199,0.0060701589643839295,524.6583271849219,86432.3867403315,0.01306764854523139,0.026882091118720936,0.48610982261461644,0.35911602209944754,0.03314917127071823,0.5966850828729282,0.011049723756906077,0.6408839779005525,-87.70116816423432,41.924808907371514,Latino & white,$75-120K,Latino & white ($75-120K),
HUMBOLDT PARK,0,27,79,7,18,28,36,19,12,113,0,0,2129334,6462774,646308,1293798,2117148,3108252,1731222,987996,9238416,0,Humboldt Park,56162,17141,19756,0.07138278551333642,0.3304547558847619,0.0025640112531605,0.008635732345714183,0.5711335066415014,0.16802973977695168,0.2816209431594047,0.3958320295387696,0.2904147949361181,0.1323648511844503,0.3633393617641911,0.2199838023891476,0.004707430653978538,52228.08470917683,66458.77201862725,191235.62219240417,39393.15114395627,2008-2018,bigcategory,Complaints,40,112,342,4,592,1090,0.5431192660550459,865,196,7195,0.1202223766504517,0.027241139680333565,7968,3056,0.38353413654618473,6548.233321816236,878.7751905716628,19984.29156,0.327669024551413,0.043973297123556514,0.006592380841257803,538.9659879820314,81755.89380530974,0.008158255721608549,0.02048815971732016,0.39819368035830816,0.061946902654867256,0.23893805309734514,0.6991150442477876,0,0.9380530973451328,-87.72394946581986,41.90091941429531,Black & Latino,$20-50K,Black & Latino ($20-50K),
WEST TOWN,2,11,60,107,41,53,47,23,16,180,0,172548,954492,4908408,9608238,3055236,4469070,4561206,2119326,1438848,15643686,0,West Town,83290,37135,40584,0.6247568735742586,0.0709568975867451,3.841997838876216e-4,0.04796494176972026,0.2278304718453596,0.6879741478802801,0.12182059961315281,0.1989735823658085,0.08210583007943988,0.08498423023851764,0.3971186212468022,0.13682732111176818,0.0127143701951508,126593.74175306315,189901.28375714566,467429.1854046048,96713.26882515277,2008-2018,bigcategory,Complaints,29,72,264,3,353,721,0.4895977808599168,4859,660,18660,0.26039657020364415,0.03536977491961415,7183,869,0.12098009188361408,5986.109793207,371.89089326427666,16137.174738,0.3709515383204497,0.023045601184979662,0.00484717921098694,421.26527534670794,86909.36666666667,0.01299545159194282,0.030384580728172003,0.42769889465328986,0.5944444444444444,0.06111111111111111,0.3333333333333333,0.011111111111111112,0.40555555555555556,-87.68154942821096,41.90226800084829,White,$75-120K,White ($75-120K),
AUSTIN,4,187,48,37,40,61,79,69,27,276,0,366768,15247680,3958716,3369948,2960670,4912656,6649146,6079644,2340996,22943112,0,Austin,94762,32222,37705,0.048152212912348835,0.7914142799856483,9.391950359848884e-4,0.0052763766066566764,0.14369684050568793,0.14146736927442238,0.288124919950476,0.40739928025980865,0.3220470486003352,0.1454183795252619,0.40978213642852707,0.27749635326879724,0.002121734517968439,50480.58779715722,NA,171368.90013034572,36370.554011404325,2008-2018,bigcategory,Complaints,71,351,479,8,1372,2281,0.6014905743095134,2213,403,17942,0.12334187938914279,0.02246126407312451,14543,3584,0.24644158701780924,8842.39216465827,1580.5981901968003,30149.6021,0.29328387603026673,0.05242517579350741,0.00856557631431941,712.0325243622369,83127.21739130435,0.019926359107645657,0.03456961986988877,0.576412444876264,0.13405797101449277,0.677536231884058,0.17391304347826086,0.014492753623188406,0.8659420289855072,-87.75805350782073,41.89454185383168,Black,$20-50K,Black ($20-50K),
WEST GARFIELD PARK,0,33,0,0,5,8,10,7,3,33,0,0,2909064,0,0,422616,699024,872406,637308,277710,2909064,0,West Garfield Park,16943,5332,7349,0.021129670070235494,0.9373192468866198,8.262999468807177e-4,0.0032461783627456765,0.026382576875405774,0.05589369040373301,0.42230933713471136,0.5639590970480417,0.4054763690922731,0.2744591100830045,0.24587396849212304,0.1134848278677371,0.003129677507143829,37502.06301575394,NA,147055.55138784696,24945.49666621309,2008-2018,bigcategory,Complaints,18,86,185,1,421,711,0.5921237693389592,274,36,2288,0.11975524475524475,0.015734265734265736,6047,2788,0.46105506862907225,1965.4767165650617,459.82821500724566,7316.93163,0.2686203474290304,0.06284440504021023,0.0061890472618154535,545.5858964741185,88153.45454545454,0.0023824994585228505,0.006180885475776423,0.38546248233527874,0,1,0,0,1,-87.73045978191362,41.87833701431778,Black,$20-50K,Black ($20-50K),
EAST GARFIELD PARK,0,41,3,6,6,9,18,13,4,50,0,0,3491766,215100,510204,431616,624264,1556016,1238490,366684,4217070,0,East Garfield Park,19738,6722,8347,0.059479177221603,0.8769885500050664,0,0.006332961799574425,0.03556591346640997,0.15926479641192506,0.4569803516028956,0.5708661417322834,0.41282356441535256,0.19468072361327424,0.22180898542100566,0.13214328501257938,0.004073319755600814,37996.22136268968,NA,170995.99821481702,24209.886066850366,2008-2018,bigcategory,Complaints,23,175,287,6,523,1014,0.5157790927021696,390,48,3176,0.12279596977329975,0.015113350125944584,4755,1402,0.29484752891692956,1662.7490821302056,444.48318464221666,6206.59803,0.26790023682751785,0.07161462406519287,0.007438262421898245,627.3534662302886,84341.4,0.003609847664428561,0.00720051452050257,0.5013319054006444,0.12,0.82,0.06,0,0.88,-87.70605531636633,41.87865787271377,Black,$20-50K,Black ($20-50K),
NEAR WEST SIDE,5,43,38,107,33,46,66,35,13,193,0,381000,3459108,3280152,10050744,2540274,3751806,6259104,3501180,1118640,17171004,0,Near West Side,62733,28208,31509,0.41349847767522674,0.2808091435129836,2.3910860312754053e-4,0.1858352063507245,0.09388997816141424,0.6737278217311924,0.2382556680475102,0.270446735395189,0.09011627906976744,0.10476371830270716,0.35188598979013047,0.12342505315941477,0.040845472722079404,114488.53516732842,NA,365281.34926262056,85072.55539687074,2008-2018,bigcategory,Complaints,17,208,239,1,489,954,0.5125786163522013,2341,367,11163,0.20971065125862223,0.03287646689957897,9311,1641,0.17624315325958545,2702.7351667795065,390.71676644295957,9014.305337,0.299827337297517,0.0433440794199891,0.006842030629608622,608.7281622234827,88968.93264248705,0.013934011984694246,0.02288529118526131,0.608863215761401,0.5544041450777202,0.22279792746113988,0.19689119170984457,0.025906735751295335,0.44559585492227977,-87.66349468638926,41.873385985755164,Black & white,$75-120K,Black & white ($75-120K),
NORTH LAWNDALE,0,64,8,7,19,14,25,15,7,80,1,0,5290662,752940,621270,1385358,1114950,2204256,1451976,595338,6751878,87006,North Lawndale,33854,11194,14566,0.030040763277603827,0.8738996868907662,0.0025403201984994387,0.0016541619897205647,0.08832043480829443,0.12374716696046335,0.40613015340364333,0.5343664347459414,0.4368411649097731,0.23149800906219964,0.24450598534929427,0.13442262803789648,0.0015790196347658931,39178.0596748258,NA,144243.08558156155,28896.578195798436,2008-2018,bigcategory,Complaints,38,157,572,7,673,1447,0.46510020732550106,603,93,5313,0.11349520045172219,0.017504234895539244,8941,3640,0.407113298288782,3993.2844145461127,1190.7699234275542,14300.50535,0.2792407902246694,0.08326768140592698,0.007146685724495266,603.1693764516706,84398.475,0.005775756263085698,0.012350097202203566,0.46766889106388243,0.0875,0.8,0.1,0,0.9,-87.71390274962893,41.858297740511375,Black,$20-50K,Black ($20-50K),
UPTOWN,7,17,16,55,20,25,22,15,13,95,0,549852,1397244,1348704,4805730,1543056,2054220,2009706,1333284,1161264,8101530,0,Uptown,58424,29742,32892,0.5407880323154868,0.17518485553881966,0.0031151581541832125,0.09937696836916336,0.15142749554977405,0.548424180639004,0.22125398884875688,0.2752504738694828,0.06949768004841637,0.09576796789492886,0.31352968865577296,0.060987474157849934,0.003617901009363979,76443.79665120032,87419.07758725526,278845.2256068859,52862.50109449106,2008-2018,bigcategory,Complaints,34,29,94,2,311,470,0.6617021276595745,4765,519,15935,0.29902729839974895,0.032569814872921245,3316,623,0.18787696019300362,3388.724375058779,176.3220136988153,8710.89046,0.38902158058577846,0.020241560206557263,0.003194136238316186,272.393584829534,85279.26315789473,0.006858710562414266,0.021313347874447365,0.3218035290756547,0.5789473684210527,0.17894736842105263,0.16842105263157894,0.07368421052631578,0.42105263157894735,-87.65593083532224,41.96614612533648,White,$50-75K,White ($50-75K),
SOUTH LAWNDALE,0,2,145,3,48,33,36,15,18,150,0,0,124548,11957664,242106,3620898,2712246,3177246,1186680,1627248,12324318,0,South Lawndale,74943,17946,20830,0.040804344635256125,0.1217458601870755,2.4018253872943438e-4,0.001494469129872036,0.8318989098381436,0.07960865321317503,0.3128443736990327,0.4651340629928786,0.22589992198818679,0.13845415266442632,0.3642594450016717,0.20667306769083052,2.880460873739798e-4,44497.01883428062,48377.85405664906,155074.60715479773,33388.46178588574,2008-2018,bigcategory,Complaints,18,85,289,3,224,619,0.36187399030694667,336,357,5540,0.06064981949458484,0.06444043321299639,4609,1231,0.2670861358212194,8851.232661915103,457.079877297959,22905.71946,0.3864201985609712,0.01995483608782306,0.008358408559010365,686.7445670344366,82162.12,0.010829542993285684,0.027339556171345834,0.3961126115366847,0.02,0.013333333333333334,0.9666666666666667,0,0.98,-87.71323423821701,41.837962174140905,Latino,$20-50K,Latino ($20-50K),
LOWER WEST SIDE,3,2,90,19,40,23,24,16,11,114,0,231150,124344,7515516,1553628,2993652,1967634,2147274,1435122,880956,9424638,0,Lower West Side,32789,12259,13826,0.18002988807221934,0.03510323584128824,9.149409863063833e-4,0.033181859770044835,0.7403397480862485,0.31275375110326564,0.20583834620904456,0.3150984682713348,0.1651031894934334,0.11333719079994214,0.30051390814911494,0.1372775929408361,0.004556632431650514,59438.069989395546,62873.947634890785,250261.73423607147,46964.74960219875,2008-2018,bigcategory,Complaints,5,26,112,2,109,254,0.42913385826771655,935,397,6680,0.13997005988023953,0.0594311377245509,2140,408,0.19065420560747665,4774.060177957231,224.31538545401907,12014.81255,0.39734787023017104,0.018669903048468207,0.009299290317317889,768.793376294967,82672.26315789473,0.00823045267489712,0.011961580231672852,0.6880740266326897,0.16666666666666666,0.017543859649122806,0.7894736842105263,0.02631578947368421,0.8333333333333334,-87.67147387501018,41.847576248560344,Latino,$20-50K,Latino ($20-50K),
NEAR SOUTH SIDE,3,24,7,54,13,19,32,19,6,89,1,229074,2135940,653754,4970472,974490,1670256,3041214,1824774,597150,8107884,118644,Near South Side,24343,13942,15010,0.47492092182557616,0.24561475578194963,3.697161401634967e-4,0.205685412644292,0.04070985498911391,0.7325859491778774,0.10150687199867528,0.21239489255683588,0.06900014345144169,0.07115256495669553,0.5601778797876918,0.108927381745503,0.0037974683544303796,147263.73547554153,251085.9560293138,400589.29852245015,98875.408727515,2008-2018,bigcategory,Complaints,8,194,83,2,279,566,0.4929328621908127,1573,272,7081,0.22214376500494282,0.03841265358000282,1917,288,0.15023474178403756,502.84344083933735,144.60069407278735,1758.9251000000002,0.28588109910952847,0.08220969390498056,0.006383589155071008,581.5438244154353,91099.82022471911,0.006425528842682839,0.008880440012797348,0.7235597372904038,0.6067415730337079,0.2696629213483146,0.07865168539325842,0.033707865168539325,0.38202247191011235,-87.6215518271862,41.85659629488425,Asian & white,$75-120K,Asian & white ($75-120K),
ARMOUR SQUARE,8,0,3,18,6,7,5,7,4,29,0,582546,0,273468,1566594,410346,559434,467520,665718,319590,2422608,0,Armour Square,13719,5451,5806,0.12194766382389387,0.10153801297470662,5.102412712296814e-4,0.7291347765872148,0.04242291712223923,0.2258653846153846,0.33865442087615716,0.40706401766004413,0.16419005687029903,0.06114364450568378,0.37534397358282884,0.18618670341026525,0,45484.53494771601,NA,262722.39955971384,29846.994488460212,2008-2018,bigcategory,Complaints,0,28,26,1,86,141,0.6099290780141844,151,132,2039,0.07405590975968612,0.06473761647866601,1026,165,0.1608187134502924,852.9976218585805,74.12708087201176,1944.92549,0.4385759897972135,0.038113069756729734,0.005320124747752706,444.4336818932306,83538.20689655172,0.0020937116453685653,0.005004755228836495,0.418344464341628,0.6206896551724138,0,0.10344827586206896,0.27586206896551724,0.3793103448275862,-87.63312782701738,41.84061764768592,Asian,$20-50K,Asian ($20-50K),
NORWOOD PARK,23,3,113,824,93,250,402,192,28,965,2,2190504,235044,10276656,79436754,7230636,22204446,40441434,19791726,2644794,92313036,174078,Norwood Park,42525,16971,17938,0.8087007642563198,0.006631393298059965,3.527336860670194e-4,0.03508524397413286,0.1272663139329806,0.4122460585763483,0.06014392603536196,0.06081482361325573,0.08414353897825702,0.05390790500613223,0.7879323551941547,0.7234920280967778,8.362136247073252e-4,104732.30805491722,260237.34530047944,331419.68652407045,82529.75220202921,2008-2018,bigcategory,Complaints,4,6,21,1,108,140,0.7714285714285715,1120,2763,13053,0.08580402972496744,0.21167547690186164,1143,140,0.12248468941382328,914.6926763640781,8.253522500493968,1883.7924699999999,0.48555915310781456,0.00438133320518792,0.05686170526191739,5439.4576630722995,95661.17720207253,0.06967005992347124,0.015513318471191194,4.490983670118751,0.8538860103626943,0.0031088082901554403,0.11709844559585492,0.02383419689119171,0.14404145077720207,-87.80057786543591,41.985630626656516,White,$75-120K,White ($75-120K),Cop neighborhood
NEAR NORTH SIDE,6,10,9,65,24,22,19,16,10,91,1,551010,884202,768780,5806020,1800720,1945254,1798620,1599804,977058,8121456,111444,Near North Side,89995,55848,66764,0.710061670092783,0.08132674037446525,0.0018334351908439357,0.12469581643424635,0.058269903883549086,0.8062678817420791,0.09996702259520804,0.09066427289048475,0.03326887265434751,0.16350128811934575,0.4278935682566967,0.0504463483314361,0.02854831945359775,153978.74588167886,NA,480582.0118894141,100481.15810916062,2008-2018,bigcategory,Complaints,27,237,221,6,703,1194,0.5887772194304858,3768,767,19902,0.18932770575821525,0.03853884031755603,12463,2173,0.17435609403835353,1656.3270166594405,272.95723444786944,5269.151577,0.31434415815429495,0.051802881442875114,0.0016294227188081937,145.42071336484744,89246.76923076923,0.006569922749259981,0.03283059602151326,0.2001158536675617,0.7142857142857143,0.10989010989010989,0.0989010989010989,0.06593406593406594,0.27472527472527475,-87.6341093070898,41.89904428126346,White,$75-120K,White ($75-120K),
